Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Location Details,dataset,Dryness
320,Eumeralla River,502,725,BF,RD,19.84,-57,OB,EA,Zhang et al. 2011,1296,-38.26,141.94,8,2001,2008,NA,1,0,NA,PL,new data,1.7875862068965518
321,Goobarragandra Ck,673,1009,CF,RD,8.32,-35,OB,EA,Zhang et al. 2011,1658,-35.19,148.2,19,1990,2008,NA,1,0,NA,PL,new data,1.643211100099108
322,Jingellic Ck,390,838,CF,RD,27.5,-37,OB,EA,Zhang et al. 2011,1659,-35.53,147.41,10,1996,2005,NA,1,0,NA,PL,new data,1.9797136038186158
323,Pine Ck,3.2,629,CF,RD,88,-106,OB,EA,Zhang et al. 2011,1469,-37.29,145.05,12,1996,2005,NA,1,0,NA,PL,new data,2.3354531001589827
325,Traralgon Ck,89,959,BF,RD,58,-78,OB,EA,Zhang et al. 2011,1325,-38.32,146.53,7,1993,1999,NA,1,0,NA,PL,new data,1.3816475495307612
326,Upper Denmark River,243,742,BF,RD,15.17,-93,OB,EA,Zhang et al. 2011,1502,-34.7,117.22,5,2004,2008,NA,1,0,NA,PL,new data,2.024258760107817
327,Yate Flat Ck,26.35,742,BF,RD,33.57,-91,OB,EA,Zhang et al. 2011,1833,-33.7,117.29,5,2004,2008,NA,1,0,NA,PL,new data,2.4703504043126685
329,Pasak River (North Thailand),14500,1208,MF,RD,-50,0,OB,EA,Pena-Arancibia et al. 2012,1812,16.43,101.18,25,NA,NA,NA,0,0,"Lat long for Petchaboon, data also via: http://www.bom.gov.au/water/about/waterResearch/document/10_Thailand-12.pdf  cited in Pena-Arancibia et al. 2012, original paper inaccessible",GM,new data,1.5
330,Pearl River,179752,1770,MF,RD,37,0,OB,SH,Zhou et al. 2010,1343,22.88,113.5,50,1993,2006,NA,1,0,"Area is for the whole Guangdong province, from Pena-Arancibia et al. 2012",GM,new data,0.7587570621468926
331,Lemon,3.44,702.6,MF,RD,-53,100,OB,EA,Zhao et al. 2010,1818,-33.3,116.41,24,1974,1997,NA,1,0,data from table 6 Zhao et al. 2010 rather than original paper,PL,new data,2.5875320239111868
332,GH2/Glendhu,3.1,1282.4,CF,RD,67,-78,OB,EA,Zhao et al. 2010,1066,-45.71,169.75,22,1980,2000,NA,1,0,data from table 6 Zhao et al. 2010 rather than original paper,PL,new data,0.8312538989394884
333,Burdekin,17299,690,BF,RD,-25,1,OB,SH,Pena-Arancibia et al. 2012,2216,-19,145,80,1979,2007,NA,1,0,NA,GM,new data,3.2115942028985507
335,Ji-Parana,33000,1875,BF,RD,-50,0,OB,SH,Rodriguez et al. 2010,1289,-10.87,-61.94,22,1991,2004,NA,1,0,precipitation varies between 1250 and 2500 mm,AL,new data,0.6874666666666667
336,Brigalow C2,0.117,720,BF,RD,-100,100,OB,PWE,Thornton et al. 2007,2083,-24.81,149.8,25,1982,2003,NA,1,0,"Cropping catchment, grassland catchment is C3, runoff % change estimate based on Table 4 in Thorton et al. 2007",GM,new data,2.8930555555555557
337,San Antonio,104,680,MF,RD,-32,0,OB,PWE,"Bart and Hope,2010",1695,35.9,-121.09,5,1972,1988,NA,1,0,Another catchment in Bart and Hope that was for some reason not added originally. Coordinates from usgs,AL,new data,2.4926470588235294
338,"M1, Canada",1140,895,CF,SD,18.9,0,OB,QPW,"Buttle and Metcalfe, 2000",746,49.68,-83.65,5,1985,1990,NA,1,0,Mattawishkwia River at Hearst Point location from  https://www.r-arcticnet.sr.unh.edu/Points/Des4371.txt,PL,new data,0.8335195530726257
339,Duqueco,1545,1700,BF,RD,15.19,-19.5,OB,SH,"Iroumé and Palacios,2013",1248,-37.55,-72.01,43,1962,2005,NA,1,0,added,PL,new data,0.7341176470588235
340,"Ocmulgee Macon, USA",5800,1200.650024,MF,RD,27.5,-9,NA,SH,"Trimble and Weirich, 1987",1567,32.84,-83.62,75,1900,1975,NA,1,0,"Data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.3051263637837565
341,"Oconee Milledgeville, USA",7640,1206.099976,MF,RD,27.5,-15,NA,SH,"Trimble and Weirich, 1987",1576,33.09,-83.21,71,1904,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.3066910134819536
342,"Flint, USA",4790,1265.689941,MF,RD,25.7,-12,NA,SH,"Trimble and Weirich, 1987",1566,32.72,-84.23,63,1912,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich, location using gauge 02347500 near Carsonville, the Flint does not go through Culloden.Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.2372698472761268
343,"Oconee Greensboro, USA",2820,1250.229981,MF,RD,21.3,-21,NA,SH,"Trimble and Weirich, 1987",1535,33.72,-83.3,71,1904,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich, for location used gauge 02218300 as original gauge location is probably now in Lake Oconee. Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.2277741082262528
344,"Chattahoochee at West Point, USA,",9195,1353.550049,MF,RD,20,-7,NA,SH,"Trimble and Weirich, 1987",1491,32.89,-85.18,75,1900,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.1015477418818371
345,"Savannah at Augusta, USA",19450,1140.130005,MF,RD,15.4,-15,NA,SH,"Trimble and Weirich, 1987,",1577,33.37,-81.94,75,1900,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.3831755967162709
346,"Tallapoosa at Wadley AL, USA",4300,1390.76001,MF,RD,11.8,-5,NA,SH,"Trimble and Weirich, 1987",1467,33.12,-85.56,52,1923,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.0548189403288926
347,"Chattahoochee at Norcross, USA",3030,1411.910034,MF,RD,11,-6,NA,SH,"Trimble and Weirich, 1987",1457,34,-84.2,73,1902,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.03193543845868
348,"Saluda at Columbia, USA",6500,1214.23999,MF,RD,10.5,-16,NA,SH,"Trimble and Weirich, 1987",1589,34.01,-81.09,46,1929,1975,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich.Rainfall data from https://prism.oregonstate.edu/normals/",USGS,new data,1.3086375124245413
349,"Saluda at Silverstreet, USA",4200,1179.349976,MF,RD,9.7,-16,NA,SH,"Trimble and Weirich, 1987",1543,34.18,-81.73,39,1927,1966,NA,1,0,"data as extracted by Filoso et al. 2017, based on Table 1 in Trimble and Weirich. Gauge probably no longer exists.Rainfall data from https://prism.oregonstate.edu/normals/",GM,new data,1.3083478453388293
350,Coalburn catchment,1.5,1400,CF,RD,90,0,OB,SH,Birkinshaw et al. 2014,640,55.1,-2.48,38,1973,2011,NA,1,0,from Filoso et al. 2017. page 564: no statistically significant trends were found in the annual discharge totals,GM,new data,0.45714285714285713
351,Ganaraska River Basin,267,800,CF,RD,5.6,-21,OB,SH,Buttle 1994,919,44.04,-78.52,48,1945,1993,NA,1,0,from Filoso et al. 2017. Change in runoff based on 100mm decline on 0.6 (runoff ratio)*800mm precip,GM,new data,1.14875
352,Jialuhe river,1117,422,NA,RD,NA,-32,NA,SH,Huang and Zhang 2004,1483,38.29,110.15,22,1967,1989,NA,0,0,"from Filoso et al. 2017. This paper actually describes more than just reforestation, there are also other conservation practices, so not really valid",AL,new data,3.514218009478673
353,Watershed 8 Tucker VA,0.19,1120,MF,RD,80,0,OB,SH,Lima et al. 1978,1060,39.13,-79.83,13,1958,1971,NA,1,0,FOREST SERVICE RESEARCH PAPER NE-392 from Filoso et al. 2017,GM,new data,0.9464285714285714
354,Watershed 9 Tucker VA,0.12,1120,MF,RD,80,0,OB,SH,Lima et al. 1978,1060,39.13,-79.83,13,1958,1971,NA,1,0,FOREST SERVICE RESEARCH PAPER NE-392 from Filoso et al. 2017,GM,new data,0.9464285714285714
355,Luchelemu catchment,13.3,1300,MF,RD,93,0,OB,SH,Mwendera 1994,2480,11.75,33.83,17,1961,1978,NA,1,0,https://doi.org/10.1016/0378-1127(94)90159-7,AL,new data,1.9076923076923078
356,Queens river,200,300,MF,RD,55,-40,MD,HM,Pitman 1978,1973,-25.75,28.23,23,1948,1971,NA,1,0,from Filoso et al. 2017,AL,new data,6.576666666666667
357,Valtorto,0.097,1500.699559,MF,RD,-100,60,OB,PWE,Stoof et al. 2012,1350,40.1,8.57,2,2008,2010,NA,1,0,https://hess.copernicus.org/articles/16/267/2012/. Rainfall and Et calculated as the average of the reported data in Table 3 in the paper,AL,new data,0.8995804602618666
